id,trade_date,trade_type,account,name,asset_class,quantity,price,currency
1,2024-09-12,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,12.0,18300.0,KRW
3,2024-09-20,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,2.0,115245.0,KRW
4,2024-09-20,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,20.0,11945.0,KRW
5,2024-10-04,매수,ISA,458730.KS (TIGER 미국배당다우존스),현금(예수금/배당금),1.0,980.0,KRW
6,2024-10-16,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,2.0,122260.0,KRW
7,2024-10-16,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,2.0,122350.0,KRW
8,2024-10-16,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,10.0,19660.0,KRW
9,2024-10-16,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,20.0,19900.0,KRW
10,2024-10-17,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,20.0,12480.0,KRW
11,2024-10-17,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,5.0,19800.0,KRW
12,2024-10-30,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,8.0,12580.0,KRW
14,2024-10-31,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,4.0,126950.0,KRW
15,2024-10-31,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,14.0,20145.0,KRW
16,2024-11-01,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,3.0,20105.0,KRW
17,2024-11-01,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,4.0,12415.0,KRW
18,2024-11-04,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,1.0,12405.0,KRW
19,2024-12-16,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,15.0,12985.0,KRW
20,2024-12-16,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,3.0,138245.0,KRW
21,2024-12-16,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,19.0,21595.0,KRW
22,2024-12-23,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,6.0,136635.0,KRW
23,2024-12-23,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,38.0,21200.0,KRW
24,2024-12-23,매수,ISA,458730.KS (TIGER 미국배당다우존스),주식/ETF,29.0,12625.0,KRW
25,2025-06-30,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,29.0,20600.0,KRW
26,2025-07-02,매도,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,8.0,136320.0,KRW
27,2025-07-02,매도,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,1.0,136330.0,KRW
28,2025-07-02,매도,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,1.0,136340.0,KRW
29,2025-07-02,매도,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,80.0,20890.0,KRW
30,2025-07-02,매도,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,10.0,20900.0,KRW
31,2025-07-07,매도,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,4.0,21015.0,KRW
32,2025-07-29,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,3.0,142335.0,KRW
33,2025-07-29,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,3.0,21865.0,KRW
34,2025-08-28,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,5.0,144055.0,KRW
35,2025-08-28,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,29.0,22185.0,KRW
36,2025-09-30,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,24.0,23150.0,KRW
37,2025-09-30,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,3.0,152630.0,KRW
38,2025-10-15,매수,ISA,133690.KS (TIGER 미국나스닥100),주식/ETF,6.0,156160.0,KRW
39,2025-10-15,매수,ISA,360750.KS (TIGER 미국S&P500),주식/ETF,37.0,23555.0,KRW
